state,year,dissolved_oxygen,bod,fecal_coliform,source_file
Bihar,2018,8.1,,3300.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,7.95,,3100.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,7.6,,6100.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,7.8,,6100.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,7.77,,7000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,8.0,,3100.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,7.65,,6550.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,7.3,,2850.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,7.6,,3100.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,7.8,,3100.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,7.8,,4000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,7.8,,4000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,7.7,,11000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,7.85,,4000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,8.2,,6100.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,7.9,,13000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,7.8,,11000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,7.5,,17000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,8.3,,9000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,8.3,,7000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,7.5,,7000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,8.0,,7000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2018,7.5,,6100.0,RS_Session_255_AU_90.1 (1).csv
Jharkhand,2018,8.5,,,RS_Session_255_AU_90.1 (1).csv
Jharkhand,2018,7.8,,,RS_Session_255_AU_90.1 (1).csv
